id,name,address,phone,kakao_url,latitude,longitude,middle_name,category_num
26879629,외포리벤댕이,인천 부평구 부평공원로 11,,http://place.map.kakao.com/26879629,37.4865147523274,126.710511279485,부평삼거리,2
16452480,삼능포장마차,인천 부평구 안남로 11,,http://place.map.kakao.com/16452480,37.4855887077547,126.716534567754,부평삼거리,2
21231165,솔밭,인천 남동구 풀무로 28,032-434-9535,http://place.map.kakao.com/21231165,37.4705597157433,126.710504994131,부평삼거리,2
9522589,토크쇼 백운역점,인천 부평구 이규보로 119,032-521-0088,http://place.map.kakao.com/9522589,37.4827950820568,126.706003099268,부평삼거리,2
23098259,더쪼아,인천 부평구 경인로 761,032-516-9358,http://place.map.kakao.com/23098259,37.4776510453951,126.709934974477,부평삼거리,2
21724290,퓨전포차원대포,인천 부평구 이규보로 145,032-213-9667,http://place.map.kakao.com/21724290,37.4846227956593,126.707646701804,부평삼거리,2
15808527,자유시간,인천 남동구 평온로 5,032-528-3605,http://place.map.kakao.com/15808527,37.4769391735918,126.710638663718,부평삼거리,2
156972207,동네술집,인천 부평구 이규보로 139,032-522-0505,http://place.map.kakao.com/156972207,37.4841238166886,126.707354676333,부평삼거리,2
127114616,삼거리역커피호프,,,http://place.map.kakao.com/127114616,37.4771907023606,126.71033131522,부평삼거리,2
805458842,노가리비어 동암1호점,인천 부평구 경인로701번길 49,,http://place.map.kakao.com/805458842,37.4718559230612,126.705625416157,부평삼거리,2
1924862029,우리동네포차,인천 부평구 동암남로13번길 46,032-441-3800,http://place.map.kakao.com/1924862029,37.472886890536,126.705711811544,부평삼거리,2
15822690,모두랑숯불바베큐,인천 부평구 아트센터로 118,032-515-8070,http://place.map.kakao.com/15822690,37.4753305582828,126.704322994989,부평삼거리,2
16088776,옛골민속주점,인천 부평구 마장로72번길 4,032-527-2832,http://place.map.kakao.com/16088776,37.4853204436601,126.70848520255,부평삼거리,2
2145373553,더꼬치다 백운점,인천 부평구 마장로 75,032-502-5392,http://place.map.kakao.com/2145373553,37.4854914795238,126.707693066431,부평삼거리,2
16092211,탈렌트,인천 남동구 풀무로 38-1,,http://place.map.kakao.com/16092211,37.4712166172679,126.710900382149,부평삼거리,2
24093260,통큰포차,인천 부평구 이규보로 143-1,032-503-3455,http://place.map.kakao.com/24093260,37.4843954198742,126.707516431574,부평삼거리,2
13495676,지짐이 동암남부역점,인천 부평구 아트센터로 40,032-428-2294,http://place.map.kakao.com/13495676,37.4715694751787,126.703492223874,부평삼거리,2
15928870,장터주막막걸리,인천 부평구 마장로72번길 8,032-515-2957,http://place.map.kakao.com/15928870,37.4854539139064,126.708534433559,부평삼거리,2
1723337310,상구비어 동암점,인천 부평구 동암남로 6,,http://place.map.kakao.com/1723337310,37.4707785229296,126.704264055451,부평삼거리,2
16301067,칸 백운점,,,http://place.map.kakao.com/16301067,37.48514353990621,126.70778018493144,부평삼거리,2
21227027,소달구지,인천 부평구 신촌로 29,032-511-2567,http://place.map.kakao.com/21227027,37.4859851989444,126.710608300069,부평삼거리,2
2092022932,향미,인천 남동구 풀무로 38-1,,http://place.map.kakao.com/2092022932,37.47120752983193,126.71086876431013,부평삼거리,2
169425562,오늘우리집비어,,,http://place.map.kakao.com/169425562,37.4807070739372,126.700827472739,부평삼거리,2
16592187,선인장,,,http://place.map.kakao.com/16592187,37.47100470356367,126.71054858820821,부평삼거리,2
10360348,러브송,,,http://place.map.kakao.com/10360348,37.471004781495026,126.71058024040164,부평삼거리,2
2092256543,길손,인천 남동구 풀무로 34,,http://place.map.kakao.com/2092256543,37.470991435527075,126.71056098237496,부평삼거리,2
27420850,클라우드구름이머무는술집,인천 부평구 마장로 73,,http://place.map.kakao.com/27420850,37.4852357754941,126.707766425548,부평삼거리,2
543239373,낙원호프&커피,인천 부평구 동암남로 29,,http://place.map.kakao.com/543239373,37.4706977701039,126.706931106794,부평삼거리,2
