name,address,phone,kakao_url,latitude,longitude,middle_name,category_num
스타벅스 부평삼거리역DT점,인천 남동구 경인로 750,1522-3232,http://place.map.kakao.com/586847211,37.476593922812576,126.71020360658294,부평삼거리,1
동화다방,인천 남동구 평온로 4,,http://place.map.kakao.com/21435204,37.4766865174797,126.710485884292,부평삼거리,1
부에노,인천 부평구 마장로 18,0507-1319-6031,http://place.map.kakao.com/888238136,37.4806231130472,126.710158651002,부평삼거리,1
우일다방,인천 남동구 경인로 758,,http://place.map.kakao.com/10692693,37.4772015448242,126.710343709407,부평삼거리,1
루트66,인천 남동구 경인로 740,,http://place.map.kakao.com/855975581,37.4755638895664,126.70976215738,부평삼거리,1
진원다방,인천 부평구 경인로 731,,http://place.map.kakao.com/21377305,37.475025170831,126.70906332076,부평삼거리,1
가족공원의새벽,인천 남동구 평온로 4,,http://place.map.kakao.com/1814193159,37.4766594155094,126.710456594786,부평삼거리,1
냠냠파운드,인천 부평구 마장로 18,,http://place.map.kakao.com/2090298943,37.4806939672828,126.710026096957,부평삼거리,1
99커피숍,인천 남동구 평온로 3,,http://place.map.kakao.com/1683850375,37.4769172976468,126.710535868514,부평삼거리,1
778커피숍,,,http://place.map.kakao.com/127682305,37.4756846094486,126.709756037906,부평삼거리,1
소피블랑,인천 남동구 남동대로897번길 8,032-426-7942,http://place.map.kakao.com/132389291,37.462634528712,126.707610259689,간석오거리,1
기억커피,인천 남동구 백범로 403,,http://place.map.kakao.com/312888710,37.4670580457764,126.70634507547825,간석오거리,1
이디야커피 인천간석오거리점,인천 남동구 백범로 406,070-8899-2700,http://place.map.kakao.com/24287651,37.4676980717049,126.706107447632,간석오거리,1
할리스 간석오거리점,인천 남동구 남동대로 931,032-425-0915,http://place.map.kakao.com/70689712,37.4654816546946,126.707585607703,간석오거리,1
메가커피 간석오거리역점,인천 남동구 백범로 404,032-423-9833,http://place.map.kakao.com/980730046,37.4675695525569,126.706600806725,간석오거리,1
탐앤탐스 인천로얄호텔점,인천 남동구 백범로 367,032-426-4565,http://place.map.kakao.com/1611039342,37.46543402112751,126.7098273199461,간석오거리,1
체리다방,인천 남동구 백범로 378,,http://place.map.kakao.com/904074413,37.4667211198877,126.70928088806,간석오거리,1
카페간석동,인천 남동구 백범로 376,,http://place.map.kakao.com/1191328056,37.4666790954273,126.709412176065,간석오거리,1
